ngram	global_tfidf_sum
مربوطه مبلغ	1.800939
سررسید تاریخ	1.800794
خارجی اقدام	1.800547
صمت پیغام	1.799981
صمت پیغام خطای	1.799981
وزارت صمت پیغام	1.799981
خطا کد	1.799977
قبیل	1.799747
مشتریان فراهم	1.799066
گردش آخر جهت	1.798849
ریالی بررسی	1.797875
ثبت سفارش طریق	1.797822
سفارش طریق	1.797822
سپام شماره مشتری	1.797427
اقدام مذکور	1.797334
اقدام مذکور اعتبارات	1.797334
بررسی پارامترهای	1.797334
بررسی پارامترهای مرتبط	1.797334
جهت بررسی پارامترهای	1.797334
حداکثر تسهیلات طریق	1.797334
سود حداکثر	1.797334
سود حداکثر مبلغ	1.797334
طریق اقدام مذکور	1.797334
مرتبط تسهیلات نرخ	1.797334
نرخ سود حداکثر	1.797334
پارامترهای مرتبط	1.797334
پارامترهای مرتبط تسهیلات	1.797334
گوشی	1.797279
روابط مشتریان پردازش	1.797034
بانکی سیستم	1.796939
اقدام نموده صورت	1.796623
آدرس itsm	1.796281
آدرس itsm bm	1.796281
طریق آدرس itsm	1.796281
طریق پردازش مدیریت	1.796040
کارمزد پردازش	1.795612
فراموشی	1.795421
مانده انتقالی پیغام	1.795316
Esc خطای	1.795205
کلید Esc خطای	1.795205
سری سریال حساب	1.795202
سریال حساب	1.795202
منوی مدیریت	1.794892
IBM CLI	1.794832
خطای IBM CLI	1.794832
بررسی مطابق اطلاعیه	1.794636
عملیات برگشت واریز	1.794573
تحویل مشتری انجام	1.794156
معوق مشکوک الوصول	1.793649
انتقالی کاربر برنامه	1.793609
کاربر برنامه	1.793609
مجوز تاسیس	1.792951
فروش شماره	1.792815
واریز بررسی	1.792815
بیمه ریالی پیغام	1.792733
پردازش دریافت چک	1.792496
بازخرید طریق	1.792467
ابطال مجدد	1.792333
ایجاد جهت بررسی	1.791940
اتوماسیون اداری گام	1.791889
اداری گام	1.791889
وضعیت ردیف	1.791541
شماره پروانه	1.791414
شماره پروانه اقامت	1.791414
ستاد تایید رد	1.791364
اشکال بازیابی	1.791308
خطای اشکال بازیابی	1.791308
رفع تعهد	1.790990
چک بانکی جهت	1.790932
ذینفع وضعیت	1.790925
ذینفع وضعیت چک	1.790925
پردازش ریز درخواست	1.790823
پردازش گزارش عمره	1.790802
شماره وضعیت تاریخ	1.790604
کلید اعمال تغییرات	1.790511
درخواست کارت اطلاعات	1.790096
پرداخت اقدام	1.789971
کلید مانده مبلغ	1.789934
رد برگشت	1.789831
تلفن همراه اقدام	1.789567
مشخصات قرارداد بررسی	1.789170
حداکثر فاصله اقساط	1.789106
فایل بررسی	1.789048
ساعی طریق اقدام	1.789047
failed socked	1.788766
failed socked error	1.788766
request failed socked	1.788766
آدرس https	1.788583
الکترونیک مشتریان تاریخ	1.788525
کالای	1.787626
مشتری طریق سامانه	1.787546
جهت دریافت گزارش	1.787343
چک صیاد	1.787088
سرویس تنظیم لیست	1.786859
شماره درخواست نمایش	1.785446
کارت بانک ملت	1.785319
ریالی روز	1.784585
عملیات ریالی روز	1.784585
تسهیلات گزارش	1.784439
ثبت انتقال	1.783399
نقدی دریافت	1.783369
بن کارت ثبت	1.783261
حساب شاخص پیغام	1.783024
اطلاعات اعتباری فیلد	1.782638
گزارشات ریز	1.782544
باکس کارت	1.781959
خطای ذینفع	1.781759
پیغام خطای ذینفع	1.781759
موجودی خام آنی	1.781194
انجام عملیات مالی	1.781174
مشتری بانک شعبه	1.781121
فعال خدمات	1.780896
عادی ساعت	1.780756
مشتری سری سریال	1.780565
دریافت وثیقه	1.780207
متناسب	1.779907
object دریافت	1.779867
object دریافت جهت	1.779867
وضعیت قراردادهای غیرمتمرکز	1.779505
چک سیستم	1.779505
استعلام نمود	1.779441
بدهی گزارش	1.779395
کار سامانه	1.779316
ورود کد رمز	1.779308
استعلام شناسه واریز	1.779098
هزار	1.778923
شماره همراه ثبت	1.778871
توسعه	1.778720
منجر ایجاد	1.778698
حساب کاربر	1.778580
سود دریافت جهت	1.778504
برداشت شماره	1.778282
جابجا	1.778215
راکدسازی	1.777998
کد شبای	1.777392
شرح خرید پوز	1.777238
وثایق اموال جهت	1.777044
فروش ارز بررسی	1.776763
اطلاعات شماره ردیف	1.776569
اسنادی داخلی طریق	1.776444
قرارداد نمایش جهت	1.776153
مسدودی چک	1.776047
حساب قبلی	1.775913
صورتیکه کارت اعتباری	1.775668
انتقال مجدد دریافت	1.775123
جهت راکد	1.774849
gov ir	1.774694
خطای مشتری گرامی	1.773986
گزارشات اسناد بایگانی	1.773904
کاربران ارشد	1.773637
شرح مشتری	1.773551
معدل حساب پیغام	1.772613
حواله B B	1.772590
چک حضوری شعبه	1.772289
اعتبار سنجی خطا	1.772218
سنجی خطا	1.772218
خطای نرخ ارز	1.771947
ابلاغ جهت	1.771937
برداشت طریق پردازش	1.771451
متمرکز کنترل	1.771250
بجز	1.771167
فاقد موجودی	1.771064
مد	1.770915
سیستم کمتر	1.770716
سامانه پیچک ایستگاه	1.770596
خطای بستن	1.770096
خطای بستن حساب	1.770096
پیغام خطای بستن	1.770096
ترمینال خودپرداز	1.770092
گزارش تاریخ	1.769940
قرارداد شماره پیگیری	1.769741
لاک تاریخ	1.769700
لاک تاریخ سامانه	1.769700
کاربر لاک تاریخ	1.769700
روتوتایپ	1.769610
ذینفع طریق اقدام	1.769410
پردازش گزارش معدل	1.769397
شماره درخواست ارز	1.769123
سامانه استعلام	1.768614
ارجاع اطلاعات منوی	1.768394
ارسال مجدد اکسس	1.768305
ویرایش ارسال	1.768305
ویرایش ارسال مجدد	1.768305
پردازش ویرایش ارسال	1.768305
شعبه تحویل کارت	1.768285
پذیرفته	1.768051
گزارش شعبه	1.767926
تمبر مالیاتی مسدود	1.767596
استعلام دارنده	1.767580
تحویلی بررسی صورتی	1.767001
حضوری شعبه پیغام	1.766894
تسهیلات انجام	1.766479
استعلام تاریخ انتقال	1.766470
واحد مذکور	1.766442
update	1.766429
طریق پردازش اصلاح	1.766297
درخواست خطا	1.766097
تایید مبلغ	1.765992
ریالی گزارش استعلام	1.765861
استعلام مبلغ	1.765775
حساب استعلام	1.765669
اعتباری فعال	1.765580
string	1.765578
صورتی گزارش	1.764718
سامانه خطای شماره	1.764570
نشده بررسی صورت	1.764194
already	1.763977
پردازش کلمه	1.763689
پردازش کلمه عبور	1.763689
فعالسازی خدمت	1.763522
دریافت سقف	1.763444
گزارش چک بانام	1.763220
صورت مشکل اتصالات	1.762864
مشکل اتصالات	1.762864
مشکل اتصالات تنظیمات	1.762864
حقوقی درخواست	1.762807
ثبت تایید چک	1.762784
خطای مذکور دریافت	1.762739
سررسید گذشته مجاز	1.762735
کاربر صورت متاثر	1.762607
انتخاب کلید ثبت	1.762583
سپام بانک کارگزار	1.762413
سررسید قسط	1.762406
تسهیلات نمایش جهت	1.762381
نرخ ارز روز	1.762138
رمز otp	1.762058
درخواست آزادسازی	1.761900
درخواست آزادسازی وثیقه	1.761900
دریافت کد رهگیری	1.761688
اطلاعات فایل	1.761638
دریافت سیتواسیون	1.761475
شماره حساب کارگزار	1.761342
توسط مدیریت شعب	1.761147
وضعیت مبلغ	1.761080
حفظ	1.761043
تسهیلات فعال	1.760951
پیشنهاد مصوبه	1.760945
مشتری اخذ	1.760748
کدنوع تسهیلات	1.760669
تلفنبانک پیغام	1.760413
تلفنبانک پیغام خطای	1.760413
سامانه تلفنبانک پیغام	1.760413
the object	1.760391
سحابی	1.760355
شعب بروزرسانی روابط	1.760336
نمایش ثبت	1.760017
پردازش جهت استعلام	1.759771
مانده مشاهده	1.759636
دستگاه خودپرداز طریق	1.759549
فنی ارجاع جهت	1.759524
عملیات برداشت	1.759393
اطلاعات حسابگری	1.759213
برداشت تعریف شرایط	1.759149
حقیقی اطلاعات	1.758794
آماده تحویل	1.758670
ضمانتنامه بلاتکلیف	1.758668
پردازش گزارش سود	1.758527
تمبرهای	1.758410
محل مانده	1.758147
استعلام مشتری سامانه	1.757378
پردازش سقف	1.757317
اسناد قلم تسویه	1.757232
اعتبار خطای شماره	1.756820
فعال صورت بررسی	1.756493
پردازش اسناد رسیده	1.756427
مصوبه تقسیط	1.756382
مبلغ کمتر	1.756374
گزارش طریق	1.756327
اسکناس درخواست	1.756316
اسکناس درخواست مجوز	1.756316
اقدام ذکر بسته	1.756316
بسته منشا	1.756316
بسته منشا پردازش	1.756316
حسابهای ارزی طریق	1.756316
درخواست مجوزها اقدام	1.756316
ذکر بسته	1.756316
ذکر بسته منشا	1.756316
مجوز منشاء اطلاعات	1.756316
مجوزها اقدام	1.756316
مجوزها اقدام ذکر	1.756316
منشا پردازش	1.756316
منشا پردازش درخواست	1.756316
منشاء اطلاعات	1.756316
منشاء اطلاعات مجوز	1.756316
نقدی اسکناس درخواست	1.756316
طبقه مشتری	1.756186
کارت ورود شماره	1.755880
بانکی بررسی صورتی	1.755120
مشخصه کد	1.755004
مشخصه کد شناسه	1.755004
ارز طریق اقدام	1.754895
حساب تاریخ افتتاح	1.754879
چک صحیح دریافت	1.754626
پشتیبانی قسمت	1.754597
ارز خطای شماره	1.754565
MIS پیغام	1.754448
MIS پیغام خطای	1.754448
همراه بانک مشتری	1.754346
احراز هویت	1.754316
بانک دریافت	1.754188
شماره دریافت استفاده	1.754118
موجودی صورت	1.754039
مشتری حقیقی فیلد	1.754038
جهت مشاهده صورتحساب	1.753924
حساب حقیقی انفرادی	1.753723
قرارداد قبلا	1.753586
حداکثر سقف	1.753154
ورودی فیلد	1.753071
ارسال نگردیده جهت	1.752870
رفع مسدودی مبلغ	1.752625
صورتی شناسه	1.752604
بروزرسانی صورت رفع	1.752589
کارکنان دولت پیغام	1.752447
تبادل واحد متمرکز	1.752173
تسهیلات کلید	1.752003
type integer	1.751922
type integer دریافت	1.751922
db sql	1.751692
گزارش بانکی	1.751207
مشتری انتقال	1.750912
انقضای شرایط	1.750760
مشتری بروزرسانی مشتری	1.750700
اوراق بهادار سامانه	1.750627
بهادار سامانه	1.750627
بهادار سامانه بک	1.750627
مشاهده پاسخ استعلام	1.750554
branch ابزارهای	1.749913
branch ابزارهای پرداخت	1.749913
سامانه branch ابزارهای	1.749913
حساب بلندمدت	1.749866
اصلاح برگشت	1.749528
الکترونیک نمایش	1.749332
دستور مراجع قانونی	1.749328
واریز انتقال وجه	1.749294
دهی جهت بررسی	1.749130
مقدار دهی جهت	1.749130
fnr	1.749095
کنونی	1.749089
مشتری اصلاح	1.748979
tab	1.748653
اعلام شماره	1.748540
فعالسازی مجدد	1.748222
سریال طریق	1.748168
حساب تجاری	1.748102
منوی شماره	1.747359
تسهیلات ریالی پیغام	1.747169
تمدید تسهیلات ریالی	1.747169
پردازش تسویه اقلام	1.747019
برگشت بازخرید	1.746999
a disable	1.746541
a disable or	1.746541
disable or	1.746541
focus a disable	1.746541
تمدید اقدام	1.746502
سامانه چکاوک	1.746225
احوال پردازش گزارش	1.746046
چک کاربر	1.745992
اطلاعات تاریخ سرفصل	1.745511
اپلیکیشن	1.744364
منوی ثبت	1.744212
نشد جهت	1.744130
نشد جهت بررسی	1.744130
معین پیغام خطای	1.743771
برگشت بله	1.743643
بابت حساب	1.743421
آنی کارت باکس	1.743211
پردازش تحویل هدیه	1.742890
خالی پردازش	1.742856
کارشناسی پیغام خطای	1.742741
محصولات	1.742508
محصولات اعتباری	1.742508
مصوبه محصولات	1.742508
مصوبه محصولات اعتباری	1.742508
شماره مدرک	1.742475
شماره مدرک شناسایی	1.742475
اطلاعات درخواست شماره	1.742176
Not	1.741978
branch خدمات	1.741753
سامانه branch خدمات	1.741753
رکوردی نشد دریافت	1.741193
fgisrim دریافت جهت	1.741125
شماره صفر	1.740317
برنامه بهنگام	1.740079
کاربران نقش	1.740058
چک مسدودی	1.739602
حساب تاریخ شرایط	1.739524
دوره معین	1.739316
core	1.739092
مسدود گردیده	1.739053
فیلد مشکل	1.738833
شماره تبادل	1.738760
فراموشی رمز	1.738482
اطلاعات دریافت پردازش	1.738339
مذکور صورت رفع	1.738134
خطای موردی	1.738082
پیغام خطای موردی	1.738082
کدهای	1.738067
اعلام خسارت	1.737461
اداره انفورماتیک	1.737365
حساب نامعتبر دریافت	1.737310
تسهیلات صورت	1.737244
دریافت صورت تماس	1.737229
ابلاغ تکلیفی	1.737200
تخصیص ابلاغ تکلیفی	1.737200
حساب موجود	1.737120
گردیده انجام	1.737029
ورود سامانه ساعی	1.736761
توسط واحد عامل	1.736721
نشده دریافت جهت	1.736632
پروفرمای	1.736622
کارت حسابهای اشتراکی	1.736589
برگشت مطالبات مشکوک	1.736147
پردازش برگشت مطالبات	1.736147
B C	1.736099
خاتمه مشارکت	1.736039
طریق گزارش استعلام	1.735951
ازای کارت	1.735512
پردازش صدور اسناد	1.735247
پردازشهای گزارش	1.735230
دریافت شماره کارت	1.735100
وضعیت شارژ	1.734810
وضعیت شارژ بن	1.734810
سال طریق	1.734657
ارجاع اطلاعات تسهیلات	1.734637
هدیه کارت وضعیت	1.734600
برگشت روز	1.734439
ثبت درخواست اکسس	1.734377
ابطال اقدام	1.733935
خالص تسهیلات مانده	1.733889
تراکنش مبلغ	1.733744
bm بانکی	1.733659
bm بانکی کاربردی	1.733659
itsm bm بانکی	1.733659
ضامن پذیر	1.733640
تائید حواله	1.733637
ستاد تبادل واحد	1.733020
پردازش گزارش مبلغ	1.732863
کاربران بروزرسانی انجام	1.732741
درخواست جهت بررسی	1.732683
وثیقه درخواست	1.732634
فیش حقوقی	1.732534
مبلغ برگشت	1.732400
نمایش پردازش استعلام	1.731997
تکلیف دریافت	1.731973
ضمانتنامه ثبت	1.731805
اقدامات	1.731618
خطای مبلغ بازپرداخت	1.731386
ریال کارمزد	1.731316
بیمه ریالی شعب	1.730288
تعریف کاربر	1.729890
برداشت انجام	1.729522
حقیقی یکسان	1.729494
حقیقی یکسان صورت	1.729494
مشتری حقیقی یکسان	1.729494
انجام نگردیده	1.729166
صورتی پاسخ	1.729096
فروشنده بررسی صورت	1.728840
ارز دریافت جهت	1.728474
اطلاعات شماره شبا	1.728401
اسناد دریافت جهت	1.728109
حقوقی شعبه	1.727590
مبلغ صحیح	1.727523
عملیات چک	1.727510
استعلام طریق بروزرسانی	1.727437
اعطای مجوز	1.726313
عملکرد برداشت	1.725994
ورود اجباری خطای	1.725910
صورت مطابق اطلاعیه	1.725893
تایید بازرسی طریق	1.725873
یکساله	1.725459
مانده خزانه	1.725436
on a	1.725297
دستور بازپرداخت	1.725254
پردازش دریافت جهت	1.725139
شماره مشتری شرکت	1.725072
خطا بابت	1.724948
ثبت سند حسابداری	1.724610
مشتری مبلغ شماره	1.724321
up	1.723971
خطای شماره سریال	1.723862
مبلغ فروش	1.723798
ملی ذینفع وضعیت	1.723656
Branch پشتیبانی	1.723421
سامانه Branch پشتیبانی	1.723421
ثبت جهت	1.723226
خطای تاریخ انقضا	1.722393
افتتاح حساب دریافت	1.722340
اسناد لاک	1.722333
اسناد لاک جهت	1.722333
کد ملی صاحب	1.722012
پردازش صفر خطای	1.721998
طریق پردازش پردازش	1.721958
خطای مانده حساب	1.721952
فعلی بررسی صورت	1.721783
بدهکاران طریق اقدام	1.721765
اربعین	1.721705
برداشت کاربر	1.721347
محل بدهکاران	1.721209
مصارف بررسی	1.721043
بستن حساب موقت	1.720838
دریافت گزارش استعلام	1.720773
فاقد شناسه	1.720708
پیشنهاد گزارش ریز	1.720624
مجموع مبالغ	1.719951
اسناد اشتباه	1.719781
اصلاح لاک جهت	1.719757
واحد طریق	1.719566
اداره عملیات	1.719528
مجاز استفاده	1.719505
تعهدی	1.719335
بانک مبلغ	1.719299
گزارش تاریخچه فرآیند	1.719246
حسابگری نمایش	1.719165
همراه پردازش	1.719156
آفیس حج حج	1.718873
حج حج	1.718873
ارسالی مطابق مستند	1.718818
پرفراژ جهت	1.718811
پرفراژ جهت بررسی	1.718811
قرارداد تاریخ ثبت	1.718688
فیلد وضعیت فعلی	1.718687
استعلام خطا	1.718680
اینترنتی مشتری	1.718521
وضعیت نمایش	1.718414
مشتری کمتر	1.718182
اقدام صورت ثبت	1.717912
چک گزارش استعلام	1.717452
A نمایش	1.717233
A نمایش جهت	1.717233
N A نمایش	1.717233
ملی دارنده	1.717026
روابط دستی	1.716803
بورس بررسی	1.716497
شماره پیگیری شماره	1.716082
پیغام خطا جهت	1.716013
حساب غیرفعال	1.715681
همراه قبلی	1.715628
ارز ردیف	1.715290
تسهیلات شاهکار کلید	1.715237
شاهکار کلید	1.715237
رفع مغایرت	1.715155
صورتحساب سود	1.714367
انتخاب نموده	1.714357
اصلاح روابط	1.713998
اصلاح روابط مشتری	1.713998
اطمینان دارید	1.713992
ابطال انجام	1.713730
طریق پردازش موجودی	1.713284
گزارش استعلام قبوض	1.713150
متمرکز پردازش	1.713108
درخواست مشاهده	1.712468
جوایز	1.712389
مشتری شماره کارت	1.712306
خانوادگی مشتری	1.712233
نام خانوادگی مشتری	1.712233
وضعیت عملکرد اوراق	1.711950
پردازش درخواست جهت	1.711828
کارت فیزیک	1.711776
کارت فیزیک کارت	1.711776
استعلام درخواستهای	1.711759
چک کسر	1.711645
چک کسر موجودی	1.711645
مشاهده تاریخچه	1.711556
حساب نمایش پردازش	1.711477
سررسید بررسی	1.711340
پردازش سامانه وندیا	1.711323
مسدودی مبلغ مسدودی	1.711298
واریز نمایش	1.711141
برداشت بررسی صورت	1.710962
مطابق واحد راست	1.710821
فیلد شماره درخواست	1.710653
تراکنش تراکنش مالی	1.710244
تراکنش مالی	1.710244
نسخه نصب	1.710138
حذف ردیف	1.709952
ارسال مجدد طریق	1.709840
مبلغ کارمزد اشتباه	1.709821
کارمزد اشتباه	1.709821
پایا صورت	1.709446
ملی تکراری	1.708881
پردازش وضعیت بن	1.708751
شرح عودت	1.708630
وضعیت طریق	1.708387
تکلیف صورت بررسی	1.708134
ریز بورس	1.707764
گزارش ریز بورس	1.707764
تایید نهایی درخواست	1.707686
خودپرداز دریافت	1.707545
درخواست نام صاحب	1.707540
صورتی پردازش موجودی	1.707449
وارده طریق	1.707083
وثیقه بررسی صورتی	1.707033
اصلاح درصد	1.706854
احوال طریق	1.706588
احوال طریق پردازش	1.706588
ثبت احوال طریق	1.706588
اقساط حداکثر فاصله	1.706588
فاصله اقساط حداکثر	1.706588
طریق نسخه	1.706366
الکترونیک پردازش	1.706166
درخواست ذینفع	1.706028
طریق پردازش اخذ	1.705873
اعتباری اطلاعات اعتباری	1.705837
خدمات اعتباری اطلاعات	1.705837
حساب واریز جهت	1.705698
ضمانتنامه تاریخ سررسید	1.705575
ارزی شعبه	1.705498
محل مصوبه پیغام	1.705454
گزینه تایید	1.705392
جستجوی	1.705333
دفترچه	1.705249
سررسید قرارداد پردازش	1.705181
حقوقی دریافت	1.705176
تغییرات جهت	1.705169
خزانه طریق	1.705144
مشتری ارسال طریق	1.704942
ماهه	1.704893
حواله ساتنا پیغام	1.704855
واحدی	1.704712
موجودی هدیه	1.704700
پردازش پذیره	1.704312
پردازش پذیره نویسی	1.704312
settings	1.704191
اصلاح اقدام	1.703841
خطای this site	1.703676
تاریخچه تعریف	1.703444
تاریخچه تعریف دستور	1.703444
تعریف دستور	1.703444
سود تعلق	1.702752
مصوبه تخفیف کارمزد	1.702563
اطلاعات قبلی بازیابی	1.702014
انتقالی ایجاد صرفا	1.702014
انتقالی شناسه	1.702014
انتقالی شناسه مشتری	1.702014
انتقالی کاربر همخوانی	1.702014
ایجاد صرفا	1.702014
ایجاد صرفا شخص	1.702014
بازیابی نشده	1.702014
بازیابی نشده کاربر	1.702014
بانکداری متمرکز کنترل	1.702014
بعدی درج	1.702014
بعدی درج شناسه	1.702014
بفرد	1.702014
بفرد پردازش	1.702014
تبادل منحصر	1.702014
تبادل منحصر بفرد	1.702014
تحویلداری مبلغ	1.702014
شخص شماره	1.702014
شخص شماره تبادل	1.702014
شماره تبادل منحصر	1.702014
شناسه مانده	1.702014
شناسه مانده انتقالی	1.702014
شناسه مذکور شناسه	1.702014
شناسه مشتری توسط	1.702014
صرفا شخص	1.702014
صرفا شخص شماره	1.702014
عبارتی مانده	1.702014
عبارتی مانده انتقالی	1.702014
عملیات تحویلداری مبلغ	1.702014
فرم پولشویی اطلاعات	1.702014
فرم پولشویی فعالیت	1.702014
فعالیت بعدی	1.702014
فعالیت بعدی درج	1.702014
قبلی بازیابی	1.702014
قبلی بازیابی نشده	1.702014
مانده انتقالی شناسه	1.702014
متمرکز کنترل شناسه	1.702014
مذکور شناسه	1.702014
مذکور شناسه مانده	1.702014
ملزم درج	1.702014
ملزم درج شناسه	1.702014
منجر ایجاد مانده	1.702014
منحصر بفرد	1.702014
منحصر بفرد پردازش	1.702014
نشده کاربر ملزم	1.702014
همخوانی عبارتی	1.702014
همخوانی عبارتی مانده	1.702014
پولشویی اطلاعات	1.702014
پولشویی اطلاعات قبلی	1.702014
پولشویی فعالیت	1.702014
پولشویی فعالیت بعدی	1.702014
کاربر ملزم درج	1.702014
کاربر همخوانی	1.702014
کاربر همخوانی عبارتی	1.702014
کنترل شناسه مذکور	1.702014
پیشنهادهای	1.701955
حتما	1.701845
تعریف صورت	1.701663
احوال پیغام خطای	1.701604
انجام صورت خطا	1.701465
دریافت جهت اصلاح	1.701242
شرح برداشت مستقیم	1.700783
تنظیم پیشنهاد سقف	1.700760
قراردادهای مشارکت	1.700602
مبلغ طریق	1.700358
شماره دریافت بابت	1.700323
ذینفع کد	1.699659
قرارداد سررسید	1.699472
خطای نام کاربری	1.699405
طریق فرم	1.699402
X نمایش طریق	1.698879
اطلاعات صحیح صورت	1.698577
باتوجه	1.698382
پردازش حذف	1.697694
حساب دستور	1.697610
دریافت طریق شرکت	1.697438
تاریخ ساعت	1.697260
صورت صحت شماره	1.696949
شعبه مانده	1.696732
بررسی مشکل	1.696645
حسابهای مشتریان حقوقی	1.696510
check	1.695698
شماره شناسنامه نام	1.695529
شناسنامه نام	1.695529
شناسنامه نام کد	1.695529
رمز مجاز	1.695471
خدمات طریق پردازش	1.695442
سامانه پیچک اطلاعات	1.695370
پیچک اطلاعات	1.695370
تایید رد تسویه	1.695346
رد تسویه	1.695346
رد تسویه اقلام	1.695346
خطای سرویس فعال	1.695319
درخواست لاک جهت	1.694948
صدور مصوبات	1.694921
فیلد درصد	1.694854
چک عودت	1.694655
تسهیلات متمرکز قسمت	1.694498
متمرکز قسمت	1.694498
متمرکز قسمت هشدارهای	1.694498
میسر صورت رفع	1.694289
موقت نمایش	1.693782
مطالبات سررسید	1.693617
مطالبات سررسید گذشته	1.693617
آمار فراوری	1.693423
اداره آمار فراوری	1.693423
فراوری	1.693423
مجوز انجام عملیات	1.692839
اصلاح خطا	1.692279
اصلاح خطا دریافت	1.692279
پرداخت انتقالی ارز	1.692275
صورتی پردازش کاربر	1.692239
وضعیت اسناد	1.692219
چک استعلام	1.691976
رمز صورت	1.691725
کاربر مسدود	1.691545
معرفی وثیقه	1.691345
انتخاب دریافت جهت	1.691132
تاخیر تسهیلات	1.691124
جریمه تاخیر تسهیلات	1.691124
مطالبات طریق	1.691112
طریق پردازش اقدام	1.691073
صدور ضمانتنامه فیلد	1.690950
حذف اطلاعات	1.690788
چک برگشتی رفع	1.690208
گزارش کسری	1.690205
گزارش کسری فزونی	1.690205
مصوبه بررسی صورتی	1.690171
صیادی پیغام	1.690043
تراکنش توسط	1.689300
حواله ارزی پیغام	1.689261
ذینفعان ضمانتنامه	1.689137
ستاد تعریف بیمه	1.688647
عملکرد قرارداد وضعیت	1.688618
ابطال مجوز	1.688402
شماره درخواست پیشنهاد	1.688138
was	1.688129
سرفصل معین	1.688062
واریز سود حساب	1.687873
درخواست گزینه	1.687481
درخواستهای واریز	1.687417
مانا دریافت	1.687361
ستاد بروزرسانی مشتری	1.687235
بدهکاران اعتبار	1.686704
بدهکاران اعتبار اسنادی	1.686704
کاری صیاد پیغام	1.686699
صورتیکه مبلغ	1.686553
ATM طریق	1.686506
ATM طریق اقدام	1.686506
خودپرداز ATM طریق	1.686506
واریز پردازش	1.686253
imported	1.685861
سفارش طریق اقدام	1.685479
تلفنبانک کد	1.685421
تلفنبانک کد بانک	1.685421
ریال صورت بررسی	1.685112
قراردادی شماره	1.684987
طریق پردازش ارسال	1.684720
گزارشات نمایش	1.684450
گذشته معوق مشکوک	1.683811
ارزی صادراتی	1.683663
branch اعتبارات	1.683627
سامانه branch اعتبارات	1.683627
سیستم فعال دریافت	1.683400
نمود صورت بررسی	1.683196
شهاب اقدام صورت	1.682873
عمل	1.682863
بدهی پردازش گزارش	1.682770
گزارش موجود	1.682228
اقدام صدور	1.682197
بابت هزینه	1.682042
بابت هزینه قانونی	1.682042
کوتاه طریق	1.681646
خطای چک برگشتی	1.681496
عملکرد پرداخت	1.681343
عملکرد پرداخت انتقالی	1.681343
گزارش عملکرد پرداخت	1.681343
اداره حسابداری مالی	1.681267
دریافت پردازش ثبت	1.681244
ریز عملکرد اعتبار	1.681186
عملکرد اعتبار	1.681186
عملکرد اعتبار برات	1.681186
شماره مصوبه شماره	1.680886
فایل صحیح	1.680842
ابطال جهت بررسی	1.680203
حداکثر تسهیلات تسهیلات	1.680115
استعلام دارنده چک	1.679999
برگشت قرارداد سرفصل	1.679993
حقوقی خارجی عکس	1.679841
خارجی عکس	1.679841
خارجی عکس مشتری	1.679841
مرکز موجودی وجه	1.679686
واریز وضعیت	1.679639
اسناد رسیده حواله	1.679500
رسیده حواله	1.679500
دارندگان کارت اشتراکی	1.679461
اطمینان حاصل	1.679188
صورتیکه پاسخ استعلام	1.678874
خارج مجدد پردازش	1.678850
برداشت طریق اقدام	1.678841
صورت نمایش شماره	1.678704
شعبه ثبت	1.678667
اینترنتی منوی	1.678613
بانکداری اینترنتی منوی	1.678613
شعب وضعیت کاربر	1.678491
انتقالی سنجش حساب	1.678250
سنجش حساب	1.678250
حقیقی شماره مشتری	1.677972
صحیح خطا	1.677890
اسناد فیلد	1.677883
ضامن تعریف	1.677746
بیمه عمر مانده	1.677671
اسناد روز	1.677421
چک موردی	1.677237
دریافت توسط	1.676972
حقیقی حساب	1.676846
برداشت واریز	1.676401
شماره دریافت وثیقه	1.676381
صورتی تحویل	1.676190
line	1.675917
ماده قانون صدور	1.675883
تخصیص مصوبه	1.675456
گزارش درخواست بیمه	1.675220
پاسخ درخواست فیلد	1.675149
لطفا جهت	1.674961
خطای بدهی سررسید	1.674771
بررسی گزارش	1.674075
داخلی بانکی باکس	1.673932
تاریخ کارت	1.673783
سیاه مشتریان	1.673739
لیست سیاه مشتریان	1.673739
ثبت پردازش سیتواسیون	1.673510
باکس گروه	1.673241
شماره قرارداد خطای	1.673132
برگشتی دریافت	1.672892
بررسی مراحل رفع	1.672816
مراحل رفع	1.672816
مراحل رفع مشکل	1.672816
کارگزار کد	1.672789
شعبه تایید	1.672714
استعلام سریال	1.672630
اتمام اعتبار مصوبه	1.672540
پیوست نامه	1.672540
مبلغ گردش پرداخت	1.672398
گردش پرداخت	1.672398
مشتریان خارجی پیغام	1.672283
حواله وضعیت	1.672159
شعب مربوطه	1.672077
مدیریت شعب مربوطه	1.672077
سپرده الکترونیک طریق	1.672017
اطلاعات شماره پایانه	1.671949
مشتری ذینفع	1.671889
مانده مبلغ برداشت	1.671643
پبغام	1.671619
خطاها پیغام	1.671058
لیست خطاها پیغام	1.671058
تسهیلات قرارداد	1.670891
سرمایه شرف	1.670662
سرمایه شرف تاسیس	1.670662
پرداخت سرمایه شرف	1.670662
اینترنتی بله	1.670507
بانکداری اینترنتی بله	1.670507
ضروری	1.670231
ارجاع اطلاعات سریال	1.670101
گزارش بروزرسانی	1.669976
حذف شماره همراه	1.669802
وراث	1.669696
اسناد صادره	1.669674
پردازش درخواست معدل	1.669652
ملی صاحب چک	1.669492
صورتی مشکل	1.669463
